Event Num,Event Title,Article Set,Selected Article,Stakeholder,Giver,Receiver,Problematic Behavior,Aftermath,Platform,Link,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,비고
22704,More E-Mail Account Details Leaked Online,"('More E-Mail Account Details Leaked Online', 'new york times', '2009-10-06')","('More E-Mail Account Details Leaked Online', 'new york times', '2009-10-06')",n-r->n-r,n-r,n-r,Scaled Abuse_Malware,,Hotmail,https://archive.nytimes.com/gadgetwise.blogs.nytimes.com/2009/10/06/more-e-mail-account-details-leaked-online/,,,,,
39822,Spot the bot: AI-generated fake reviews flooding the internet prove difficult to detect,"('Spot the bot: AI-generated fake reviews flooding the internet prove difficult to detect', 'irish examiner', '2023-07-15')","('Spot the bot: AI-generated fake reviews flooding the internet prove difficult to detect', 'irish examiner', '2023-07-15')",n-r->n-r,n-r,n-r,Scaled Abuse_Inauthentic Behavior,Social Media Policy Change,Online,https://www.irishexaminer.com/opinion/commentanalysis/arid-41184352.html,chatgpt 리뷰 대량생산,,,,
65479,"Thai hacktivists targeting government websites arrested, junta says","('Thai hacktivists targeting government websites arrested, junta says', 'dpa international (english)', '2016-12-26')","('Thai hacktivists targeting government websites arrested, junta says', 'dpa international (english)', '2016-12-26')",1-r->1-i,1-r,1-i,Scaled Abuse_Malware,Legal Action,Online,https://www.newvision.co.ug/news/1442831/thailand-detains-hacks-protesting-cyber-law,,,,,
15921,"Today’s Scuttlebot: Confessions of a Fake Web Traffic Buyer, and the False Promise of Classroom Technology","('Today’s Scuttlebot: Confessions of a Fake Web Traffic Buyer, and the False Promise of Classroom Technology', 'new york times', '2013-11-12')","('Today’s Scuttlebot: Confessions of a Fake Web Traffic Buyer, and the False Promise of Classroom Technology', 'new york times', '2013-11-12')",1-i->n-r,1-i,n-r,Scaled Abuse_Inauthentic Behavior,,Online,https://archive.nytimes.com/bits.blogs.nytimes.com/2013/11/12/todays-scuttlebot-confessions-of-a-fake-web-traffic-buyer-and-the-false-promise-of-classroom-technology/,,,,,
29072,Video shows how to hack emergency alert system to send fake terror threats,"('Video shows how to hack emergency alert system to send fake terror threats', 'the daily telegraph', '2023-04-22')","('Video shows how to hack emergency alert system to send fake terror threats', 'the daily telegraph', '2023-04-22')",1-i->1-i,1-i,1-i,Scaled Abuse_Hacking,,Youtube,https://www.telegraph.co.uk/politics/2023/04/21/hackers-fake-terror-threats-youtube/,유튜브에 해킹 방법 업로드,,,,
49017,What happens when most of China visits your website? It dies a horrible death,"('What happens when most of China visits your website? It dies a horrible death', 'the guardian', '2015-01-23')","('What happens when most of China visits your website? It dies a horrible death', 'the guardian', '2015-01-23')",n-r->S,n-r,S,Scaled Abuse_Spam,,Iconfactory,https://www.theguardian.com/technology/2015/jan/23/what-happens-when-most-of-china-visits-your-website-it-dies-a-horrible-death,,,,,
20464,"With money moving hands, online crime comes of age","('With money moving hands, online crime comes of age', 'the times of india', '2011-08-23')","('With money moving hands, online crime comes of age', 'the times of india', '2011-08-23')",n-r->1-i,n-r,1-i,Scaled Abuse_Malware,,Online,https://timesofindia.indiatimes.com/city/mumbai/with-money-moving-hands-online-crime-comes-of-age/articleshow/9690938.cms,,,,,
3150,"Your country needs you to fight fake news, UK journalists told","('Your country needs you to fight fake news, UK journalists told', 'the guardian', '2018-05-01')","('Your country needs you to fight fake news, UK journalists told', 'the guardian', '2018-05-01')",n-r->n-r,n-r,n-r,Scaled Abuse_Inauthentic Behavior,Social Media Policy Change,Online,https://www.theguardian.com/politics/2018/may/01/your-country-needs-you-to-fight-fake-news-uk-journalists-told,,,,,
9877,How long will Twitter stand by as ‘online violence’ curtails our right to know?,"(Army's YouTube and Twitter sites 'breached', the daily telegraph, 2022-07-04)","(Army's YouTube and Twitter sites 'breached', the daily telegraph, 2022-07-04)",n-r->1-i,n-r,1-i,Scaled Abuse_Hacking,,"Twitter, Youtube",https://www.telegraph.co.uk/news/2022/07/03/british-army-hit-cyberattack-twitter-youtube-accounts-hacked/,군대 공식 유툽/트위터 해킹,,,,
59356,Chinese hackers outed themselves by logging into their personal Facebook accounts (Posted 2013-02-19 19:02:56),"(Chinese hackers outed themselves by logging into their personal Facebook accounts (Posted 2013-02-19 19:35:16), the washington post, 2013-01-01), (Chinese hackers outed themselves by logging into their personal Facebook accounts (Posted 2013-02-19 20:11:23), the washington post, 2013-01-01)","(Chinese hackers outed themselves by logging into their personal Facebook accounts (Posted 2013-02-19 19:35:16), the washington post, 2013-01-01)",n-r->n-r,n-r,n-r,Scaled Abuse_Hacking,,Online,https://www.washingtonpost.com/news/worldviews/wp/2013/02/19/chinese-hackers-outed-themselves-by-logging-into-their-personal-facebook-accounts/,,,,,
