Event Num,Event Title,Article Set,Selected Article,Stakeholder,Giver,Receiver,Problematic Behavior,Aftermath,Platform,Link
2404,Taking the SAT is hard enough. Then students learned the test's answers may have been leaked online,"('Taking the SAT is hard enough. Then students learned the test's answers may have been leaked online', 'los angeles times', '2018-08-27')","('Taking the SAT is hard enough. Then students learned the test's answers may have been leaked online', 'los angeles times', '2018-08-27')",n-r->n-r,n-r,n-r,Deceptive & Fraudulent Behavior_Intellectual Property,,Twitter,https://www.latimes.com/local/lanow/la-me-ln-sat-exam-leaked-20180827-story.html
60385,"Theft is theft, even online","('Theft is theft, even online', 'the washington post', '2011-12-11')","('Theft is theft, even online', 'the washington post', '2011-12-11')",n-r->n-r,n-r,n-r,Deceptive & Fraudulent Behavior_Intellectual Property,,Online,https://www.washingtonpost.com/opinions/property-thefton-the-webno-less-wrong/2011/12/09/gIQAFxgDjO_story.html
57275,"This is the third time, I have been robbed: Annu Kapoor, who was cheated of Rs 4.36 lakh in online fraud","('This is the third time, I have been robbed: Annu Kapoor, who was cheated of Rs 4.36 lakh in online fraud', 'the times of india', '2022-10-03')","('This is the third time, I have been robbed: Annu Kapoor, who was cheated of Rs 4.36 lakh in online fraud', 'the times of india', '2022-10-03')",1-r->1-r,1-r,1-r,Deceptive & Fraudulent Behavior_Fraud,,Online,https://timesofindia.indiatimes.com/tv/news/hindi/this-is-the-third-time-i-have-been-robbed-annu-kapoor-who-was-cheated-of-rs-4-36-lakh-in-online-fraud/articleshow/94597661.cms
47374,Twitter 'snooping requests' double,"('Twitter 'snooping requests' double', 'irish examiner', '2015-08-13')","('Twitter 'snooping requests' double', 'irish examiner', '2015-08-13')",n-r->n-r,n-r,n-r,Deceptive & Fraudulent Behavior_Defamation,Legal Action,Twitter,https://www.bbc.com/news/technology-33882688
57436,Twitter account claiming to be BSF jawan Tej Bahadur Yadav's is fake,"('Twitter account claiming to be BSF jawan Tej Bahadur Yadav's is fake', 'the times of india', '2018-08-29')","('Twitter account claiming to be BSF jawan Tej Bahadur Yadav's is fake', 'the times of india', '2018-08-29')",1-r->1-i,1-r,1-i,Deceptive & Fraudulent Behavior_Impersonation,,Twitter ,https://timesofindia.indiatimes.com/india/twitter-account-claiming-to-be-bsf-jawan-tej-bahadur-yadavs-is-fake/articleshow/65580296.cms
10339,Twitter page admin held for sharing budget meme,"('Twitter page admin held for sharing budget meme', 'the times of india', '2023-03-23')","('Twitter page admin held for sharing budget meme', 'the times of india', '2023-03-23')",1-r->n-r,1-r,n-r,Deceptive & Fraudulent Behavior_Defamation,Legal Action,Twitter,https://timesofindia.indiatimes.com/city/chennai/twitter-page-admin-held-for-sharing-budget-meme/articleshow/98928533.cms
17194,"Twitter sued in row over secret 'hate"" blog","('Twitter sued in row over secret 'hate"" blog', 'the daily telegraph', '2012-02-18')","('Twitter sued in row over secret 'hate"" blog', 'the daily telegraph', '2012-02-18')",S->1-r,S,1-r,Deceptive & Fraudulent Behavior_Defamation,Legal Action,Twitter,https://www.telegraph.co.uk/technology/twitter/9088278/Twitter-sued-by-Australian-man-defamed-in-row-over-secret-blog.html
62315,"Vivek Agnihotri asks Mamata Banerjee for withdrawal of her comments on The Kashmir Files, sends legal notice","('Vivek Agnihotri asks Mamata Banerjee for withdrawal of her comments on The Kashmir Files, sends legal notice', 'the hindustan times', '2023-05-09')","('Vivek Agnihotri asks Mamata Banerjee for withdrawal of her comments on The Kashmir Files, sends legal notice', 'the hindustan times', '2023-05-09')",1-i->1-i,1-i,1-i,Deceptive & Fraudulent Behavior_Defamation,Legal Action,Twitter,https://www.hindustantimes.com/entertainment/bollywood/vivek-agnihotri-asks-mamata-banerjee-for-withdrawal-of-her-comments-on-the-kashmir-files-sends-legal-notice-101683619677330.html
60911,Woman Allegedly Terrorized by Online Date; Three Stabbed in Annandale Nightclub Fight; Holiday Traffic Fatalities Decline,"('Woman Allegedly Terrorized by Online Date; Three Stabbed in Annandale Nightclub Fight; Holiday Traffic Fatalities Decline', 'the washington post', '2009-05-27')","('Woman Allegedly Terrorized by Online Date; Three Stabbed in Annandale Nightclub Fight; Holiday Traffic Fatalities Decline', 'the washington post', '2009-05-27')",1-r->1-r,1-r,1-r,Deceptive & Fraudulent Behavior_Fraud,Legal Action,Online,https://www.washingtonpost.com/archive/local/2009/05/27/woman-allegedly-terrorized-by-online-date-three-stabbed-in-annandale-nightclub-fight-holiday-traffic-fatalities-decline/843ece9c-3a49-4792-94b0-41a556394f06/?isMobile=1
37992,"Woman, 69, falls for gift con, loses Rs 6.6 lakh to fake Facebook friend","('Woman, 69, falls for gift con, loses Rs 6.6 lakh to fake Facebook friend', 'the times of india', '2020-03-22')","('Woman, 69, falls for gift con, loses Rs 6.6 lakh to fake Facebook friend', 'the times of india', '2020-03-22')",1-r->n-r,1-r,n-r,Deceptive & Fraudulent Behavior_Fraud,Legal Action,Facebook,https://timesofindia.indiatimes.com/city/chandigarh/woman-69-falls-for-gift-con-loses-rs-6-6-lakh-to-fake-facebook-friend/articleshow/74741463.cms
